label,text
spam,Win cash now
spam,Free prize available
spam,Click here to claim reward
spam,Press the link below and claim 1 lakh rupees
spam,Congratulations you won a free gift
spam,Limited time offer claim your reward
spam,You are selected for a cash bonus
spam,Act now to receive your prize money
spam,Exclusive deal waiting for you click now
spam,Claim your lottery winnings today
spam,Get rich quick by clicking this link
spam,You have won a lucky draw prize
spam,Free recharge available click here
spam,Your account is eligible for cashback
spam,Claim instant reward using this link

ham,See you tomorrow
ham,Let us meet for lunch
ham,Call me later
ham,Hi
ham,How are you doing today
ham,Are you coming to college today
ham,Please send the notes when free
ham,Let us plan for tomorrow
ham,Can we talk in the evening
ham,Meeting is scheduled at 10 am
ham,I will call you after class
ham,Did you complete the assignment
ham,Let us study together today
ham,See you at the library
ham,Good morning have a nice day
